,MonthlyCharges,TotalCharges,Churn
1067,89.25,2210.2,No
1068,99.05,4853.75,Yes
1069,54.0,1055.9,No
1070,69.75,144.55,Yes
1071,49.05,91.1,Yes
1072,56.75,1304.85,No
1073,98.05,713,Yes
1074,21.1,21.1,No
1075,96.65,5580.8,No
1076,24.5,1497.9,No
1077,114.5,4527.45,Yes
1078,79.2,4590.35,No
1079,69.55,200.2,No
1080,20.05,614.45,No
1081,98.85,4564.9,No
1082,25.75, ,No
1083,80.95,171.15,Yes
1084,19.6,1012.4,No
1085,74.3,940.35,Yes
1086,89.7,1047.7,Yes
1087,87.65,2766.4,No
1088,100.45,1622.45,Yes
1089,74.75,1129.35,No
1090,107.45,5680.9,No
1091,75.35,2243.9,No
1092,64.95,4523.25,No
1093,100.45,7159.7,No
1094,68.5,2839.95,No
1095,80.55,80.55,No
1096,81.25,580.1,No
1097,90.4,2178.6,Yes
1098,89.55,6038.55,No
1099,55.7,259.4,No
1100,24.8,324.15,No
1101,20.0,417.65,No
1102,56.15,168.15,Yes
1103,105.2,5637.85,No
1104,19.55,839.4,No
1105,79.75,769.1,No
1106,97.45,6253,No
1107,24.25,1641.8,No
1108,24.6,1678.05,No
1109,50.15,2058.5,No
1110,39.6,2424.5,No
1111,94.4,387.2,Yes
1112,89.85,6293.45,No
1113,78.95,2839.65,Yes
1114,98.85,3145.9,No
1115,53.85,2200.7,No
1116,24.25,914.4,No
1117,89.45,4577.75,No
1118,105.25,4997.5,No
1119,59.5,4144.8,No
1120,70.55,1493.55,No
1121,82.5,4179.1,No
1122,44.85,893.55,Yes
1123,61.6,1611,No
1124,49.05,593.05,No
1125,105.65,4284.8,Yes
1126,74.65,544.55,Yes
1127,66.25,1533.8,No
1128,19.4,529.8,No
1129,86.05,3865.6,No
1130,19.15,515.75,No
1131,64.7,941,Yes
1132,104.05,1133.65,Yes
1133,19.25,48.35,No
1134,81.95,2070.05,No
1135,114.65,8333.95,No
1136,20.0,1209.25,No
1137,19.8,1396.25,No
1138,65.15,723.35,No
1139,19.65,228.65,No
1140,88.95,1161.75,No
1141,20.2,98.35,No
1142,75.2,775.3,No
1143,56.8,1074.65,No
1144,35.55,35.55,Yes
1145,75.5,2324.7,No
1146,35.6,1072.6,No
1147,60.25,170.5,No
1148,95.15,196.9,Yes
1149,96.65,1162.85,Yes
1150,40.35,1677.85,No
1151,18.85,18.85,No
1152,54.85,370.4,No
1153,64.3,3410.6,No
1154,24.65,1138.8,No
1155,76.1,5264.25,No
1156,18.7,1005.7,No
1157,97.95,5936.55,No
1158,94.1,5475.9,No
1159,80.4,224.05,Yes
1160,95.1,2326.05,No
1161,31.35,31.35,Yes
1162,72.35,4991.5,No
1163,89.75,1052.4,Yes
1164,82.7,5831.2,No
1165,19.9,510.8,No
1166,53.8,283.95,No
1167,51.55,1295.4,No
1168,19.65,19.65,No
1169,44.05,3011.65,No
1170,114.0,8093.15,No
1171,94.4,5610.25,Yes
1172,100.4,3217.65,No
1173,19.85,19.85,Yes
1174,54.25,773.2,No
1175,80.0,1029.35,No
1176,109.9,669.45,Yes
1177,79.2,3593.8,No
1178,101.35,1553.95,Yes
1179,94.3,3953.15,No
1180,49.8,1971.15,No
1181,60.05,1236.15,Yes
1182,53.75,3196,No
1183,93.45,4872.2,No
1184,87.9,1500.5,No
1185,60.15,60.15,Yes
1186,61.05,3478.75,No
1187,104.05,7413.55,No
1188,99.25,3532,No
1189,85.7,256.75,No
1190,104.85,3887.25,No
1191,69.15,2490.15,No
1192,90.45,593.45,Yes
1193,74.45,3510.3,No
1194,50.45,765.45,No
1195,60.0,1259.35,No
1196,85.25,5538.35,No
1197,19.45,340.85,No
1198,20.75,844.45,No
1199,78.9,1348.95,No
1200,104.5,3778,No
1201,49.4,611.65,No
1202,94.25,4867.95,Yes
1203,25.0,1505.05,No
1204,25.55,467.85,No
1205,74.9,74.9,Yes
1206,70.15,194.2,No
1207,69.4,571.45,No
1208,80.25,80.25,Yes
1209,93.15,5253.95,No
1210,69.0,1149.65,Yes
1211,66.35,740.8,Yes
1212,69.55,521.35,No
1213,20.2,1412.65,No
1214,86.0,1532.45,Yes
1215,80.3,250.05,Yes
1216,20.4,1090.6,No
1217,23.75,1446.8,No
1218,90.55,2282.55,Yes
1219,70.45,4300.45,No
1220,65.75,1111.2,No
1221,24.6,190.1,No
1222,69.25,4447.75,No
1223,75.9,143.35,Yes
1224,45.85,45.85,Yes
1225,49.95,810.2,Yes
1226,24.65,1830.05,No
1227,90.4,2820.65,No
1228,100.85,4847.35,No
1229,75.35,4729.3,No
1230,87.2,4017.45,No
1231,64.4,1398.6,No
1232,78.3,2564.3,Yes
1233,24.7,1685.9,No
1234,105.85,5826.65,No
1235,98.3,6066.55,No
1236,76.95,228.4,Yes
1237,19.45,270.2,No
1238,96.15,1529.2,Yes
1239,58.7,168.6,No
1240,20.15,536.35,No
1241,64.5,1888.45,No
1242,28.5,629.35,No
1243,45.3,45.3,Yes
1244,19.4,289.3,Yes
1245,90.45,2117.25,No
1246,105.15,4730.9,No
1247,83.15,2033.05,No
1248,90.15,987.95,Yes
1249,45.05,45.05,Yes
1250,103.2,5744.35,No
1251,75.8,75.8,Yes
1252,19.45,19.45,No
1253,79.3,523.15,Yes
1254,88.8,4805.3,No
1255,30.9,59.05,Yes
1256,85.9,6110.75,No
1257,34.2,1596.6,No
1258,20.15,1046.2,No
1259,95.25,4424.2,Yes
1260,50.3,92.75,No
1261,80.15,194.55,No
1262,51.25,612.1,No
1263,89.6,6127.6,Yes
1264,95.2,6671.7,No
1265,94.8,5264.3,No
1266,80.25,303.7,No
1267,76.1,4818.8,No
1268,110.15,6448.05,Yes
1269,115.55,7159.05,No
1270,24.65,1574.5,No
1271,53.6,2879.2,No
1272,19.45,86.05,No
1273,88.2,4159.45,No
1274,101.15,6638.35,No
1275,56.8,3112.05,No
1276,99.4,7168.25,No
1277,20.1,1326.25,No
1278,60.7,2234.55,No
1279,20.95,495.15,No
1280,114.85,8317.95,No
1281,19.25,679.8,No
1282,62.8,62.8,No
1283,105.5,7544,No
1284,19.85,1188.25,No
1285,89.5,676.7,Yes
1286,74.1,74.1,No
1287,107.5,3242.5,No
1288,19.55,1240.15,No
1289,68.8,4111.35,No
1290,84.45,5899.85,No
1291,75.0,632.95,Yes
1292,84.5,5193.2,No
1293,111.2,7530.8,No
1294,44.75,270.95,Yes
1295,80.6,5460.2,No
1296,80.7,1614.2,No
1297,75.6,402.5,No
1298,57.6,1367.75,No
1299,44.05,483.7,Yes
1300,110.6,7962.2,No
1301,58.2,3810.8,No
1302,81.0,3533.6,No
1303,19.7,1396.9,No
1304,85.6,1345.55,Yes
1305,59.55,1646.45,No
1306,115.55,8127.6,Yes
1307,75.55,2680.15,No
1308,86.6,1281,Yes
1309,85.2,1553.9,Yes
1310,97.65,3207.55,Yes
1311,45.1,2049.05,No
1312,70.95,3629.2,No
1313,109.55,5124.55,Yes
1314,89.55,3474.45,Yes
1315,20.9,202.3,No
1316,19.95,147.5,No
1317,24.6,86.35,No
1318,66.7,579,No
1319,19.45,19.45,Yes
1320,94.8,3131.55,No
1321,65.85,3928.3,No
1322,19.95,187.75,No
1323,24.65,1710.15,No
1324,20.35,76.35,Yes
1325,69.25,69.25,Yes
1326,51.25,2151.6,No
1327,99.5,5961.1,Yes
1328,54.25,1221.55,No
1329,19.4,1496.45,No
1330,56.25,1292.2,No
1331,25.15,25.15,No
1332,23.95,1713.1,No
1333,35.4,1748.9,No
1334,25.2,25.2,Yes
1335,45.0,96.45,Yes
1336,75.35,1114.55,No
1337,20.4,609.1,No
1338,20.15,20.15,Yes
1339,105.0,7133.25,Yes
1340,56.05, ,No
1341,54.7,169.45,Yes
1342,20.0,141.6,No
1343,73.05,4688.65,No
1344,20.5,563.05,No
1345,100.75,5985,No
1346,87.25,1258.6,Yes
1347,19.95,373.5,No
1348,79.95,857.2,Yes
1349,49.65,2553.35,No
1350,65.65,4322.85,No
1351,20.45,250.8,No
1352,60.95,4549.05,No
1353,20.35,1359.5,No
1354,88.35,1639.3,Yes
1355,19.5,178.85,No
1356,75.2,633.85,No
1357,111.45,5315.1,No
1358,70.15,735.5,No
1359,94.75,889.9,Yes
1360,95.05,1290,Yes
1361,78.45,330.05,Yes
1362,70.2,237.95,Yes
1363,92.0,6474.4,No
1364,85.5,4421.95,No
1365,41.05,2452.7,Yes
1366,85.6,813.85,Yes
1367,82.15,4904.85,No
1368,84.4,4484.05,No
1369,60.9,2033.85,No
1370,20.25,538.2,No
1371,79.2,79.2,Yes
1372,95.3,2192.9,No
1373,19.85,19.85,No
1374,84.35,3858.05,No
1375,19.85,854.8,No
1376,70.0,347.4,Yes
1377,82.3,5815.15,No
1378,66.8,3970.4,No
1379,44.6,3058.15,No
1380,98.45,6145.2,No
1381,70.7,129.2,No
1382,24.95,1165.9,No
1383,49.95,49.95,Yes
1384,69.25,1554,Yes
1385,102.5,4904.25,No
1386,86.55,5632.55,No
1387,24.3,1643.25,No
1388,58.35,740.55,No
1389,94.25,3217.55,Yes
1390,68.75,4888.2,No
1391,85.8,2440.25,No
1392,20.1,620.55,No
1393,20.35,20.35,No
1394,110.8,6840.95,No
1395,73.0,3001.2,Yes
1396,100.05,6254.2,Yes
1397,82.85,319.6,No
1398,84.35,1938.05,No
1399,19.55,294.5,No
1400,19.95,58.3,No
1401,99.8,442.85,Yes
1402,35.0,553,Yes
1403,66.25,546.45,No
1404,23.3,797.1,No
1405,76.0,76,Yes
1406,25.3,1673.8,No
1407,44.55,343.45,No
1408,104.1,7412.25,No
1409,92.55,4039,No
1410,93.85,170.85,Yes
1411,101.45,2948.6,No
1412,84.3,1308.4,Yes
1413,94.55,6078.75,No
1414,95.5,3418.2,No
1415,100.3,6603.8,No
1416,55.5,3166.9,No
1417,49.85,865.75,No
1418,89.55,6373.1,No
1419,19.15,1177.05,No
1420,99.8,5985.75,No
1421,84.4,732.5,Yes
1422,113.05,7869.05,No
1423,101.1,1504.05,Yes
1424,19.95,936.7,No
1425,74.15,741.4,No
1426,92.0,6585.2,No
1427,73.85,3122.4,No
1428,50.45,50.45,Yes
1429,24.45,1088.25,No
1430,24.8,615.35,No
1431,64.85,2908.2,No
1432,20.75,739.9,No
1433,68.95,593.85,No
1434,99.95,1132.75,Yes
1435,109.4,7227.45,No
1436,91.4,193.6,Yes
1437,49.0,1291.35,No
1438,50.25,2023.55,No
1439,75.55,349.65,Yes
1440,19.9,153.95,No
1441,97.8,5458.8,No
1442,100.3,5244.45,No
1443,55.8,154.55,No
1444,111.15,4507.15,No
1445,98.55,2031.95,No
1446,50.05,50.05,No
1447,80.8,332.45,Yes
1448,20.85,473.9,No
1449,19.5,106.8,No
1450,19.35,152.6,No
1451,69.5,1199.4,No
1452,48.8,2555.05,No
1453,94.5,2979.2,No
1454,20.65,654.85,No
1455,106.05,3834.4,No
1456,100.0,1534.75,Yes
1457,108.3,4586.15,No
1458,20.55,20.55,Yes
1459,99.65,5941.05,No
1460,85.3,424.15,Yes
1461,95.9,2234.95,No
1462,20.0,666.75,No
1463,70.4,281,Yes
1464,64.95,547.8,No
1465,74.6,74.6,No
1466,49.2,571.15,No
1467,73.75,1756.6,No
1468,92.3,5731.45,No
1469,98.8,3475.55,Yes
1470,19.2,156.85,No
1471,88.65,2683.2,No
1472,74.4,896.75,Yes
1473,98.75,2407.3,Yes
1474,95.95,4456.65,No
1475,105.4,6998.95,No
1476,20.25,36.8,No
1477,106.0,6547.7,Yes
1478,104.7,4346.4,Yes
1479,49.05,2265,No
1480,35.55,1309.15,No
1481,65.1,4754.3,No
1482,96.85,1235.55,No
1483,69.75,3562.5,No
1484,99.2,7213.75,No
1485,96.7,2082.95,Yes
1486,55.05,102.75,Yes
1487,106.8,5914.4,No
1488,51.25,51.25,No
1489,57.75,1282.85,No
1490,70.85,4738.85,No
1491,19.55,19.55,No
1492,88.2,1775.8,Yes
1493,79.5,795.65,No
1494,19.75,145,Yes
1495,98.15,4993.4,No
1496,20.25,61.45,No
1497,79.15,4018.55,No
1498,75.65,1146.65,Yes
1499,94.25,6081.4,No
1500,40.2,1478.85,No
1501,19.95,243.65,No
1502,55.35,2633.95,No
1503,102.15,4735.35,No
1504,71.1,1247.75,No
1505,74.7,74.7,Yes
1506,54.1,3794.5,No
1507,19.65,1008.7,No
1508,88.45,2130.55,No
1509,76.65,1313.55,Yes
1510,80.4,5727.15,No
1511,19.25,1372.9,No
1512,84.8,1203.9,No
1513,25.8,25.8,Yes
1514,19.5,1215.1,No
1515,68.6,2877.05,No
1516,92.6,1579.7,No
1517,100.55,5514.95,No
1518,20.55,96.1,No
1519,42.6,72.4,Yes
1520,19.6,55.25,No
1521,67.45,2443.3,No
1522,68.85,1970.5,Yes
1523,43.55,335.4,No
1524,109.85,7002.95,No
1525,20.65,158.95,No
1526,95.4,293.15,No
1527,21.0,1493.75,No
1528,56.2,1093.4,No
1529,18.4,1057.85,No
1530,90.0,190.05,Yes
1531,25.75,882.55,No
1532,19.6,300.4,No
1533,75.35,1025.95,Yes
1534,19.8,1436.95,No
1535,64.2,475,No
1536,75.75,5388.15,No
1537,78.95,5730.15,No
1538,100.85,819.55,Yes
1539,50.3,217.1,No
1540,80.3,4896.35,No
1541,19.85,1434.1,No
1542,21.1,937.1,No
1543,69.95,330.15,Yes
1544,50.0,1474.9,No
1545,104.75,6536.5,No
1546,19.85,1128.1,No
1547,107.5,6873.75,Yes
1548,85.9,2199.05,No
1549,45.85,45.85,Yes
1550,80.8,457.1,No
1551,25.25,566.5,No
1552,80.55,2471.6,No
1553,81.5,3107.3,No
1554,20.9,518.3,No
1555,106.1,5769.75,Yes
1556,91.7,91.7,Yes
1557,67.25,832.3,No
1558,95.6,1555.65,Yes
1559,20.35,45.3,No
1560,45.05,1790.6,No
1561,74.95,74.95,Yes
1562,34.65,246.6,No
1563,69.35,261.65,No
1564,95.35,898.35,Yes
1565,81.55,4509.5,No
1566,75.4,5480.25,No
1567,67.8,653.15,No
1568,111.4,1183.05,No
1569,46.3,639.45,No
1570,20.4,478.75,No
1571,20.05,20.05,No
1572,45.0,127.1,Yes
1573,96.1,4391.45,No
1574,19.65,270.6,No
1575,99.5,6710.5,Yes
1576,60.65,3975.9,No
1577,98.6,1704.95,Yes
1578,59.5,415.95,Yes
1579,80.45,950.2,Yes
1580,71.7,1497.05,No
1581,36.0,780.15,No
1582,65.2,3512.15,No
1583,48.95,273.25,No
1584,53.5,3517.9,No
1585,80.45,3375.9,No
1586,109.05,7508.55,No
1587,26.3,1245.05,No
1588,106.8,5347.95,No
1589,64.95,493.65,No
1590,19.35,1263.85,No
1591,21.1,385.55,No
1592,77.95,3384,Yes
1593,18.85,84.2,No
1594,26.0,1638.7,No
1595,74.7,165.4,Yes
1596,70.35,120.25,No
1597,96.9,4473.45,No
1598,19.55,520.55,No
1599,80.4,5717.85,No
1600,88.8,88.8,Yes
1601,94.65,4312.5,No
1602,90.25,2755.35,Yes
1603,64.65,994.55,Yes
1604,95.75,6511.25,No
1605,19.55,1218.65,No
1606,104.1,7447.7,No
1607,89.05,1169.35,Yes
1608,20.1,279.5,No
1609,111.55,5720.35,No
1610,60.5,3121.45,No
1611,90.95,6468.6,No
1612,87.4,5918.8,Yes
1613,19.7,675.6,No
1614,50.95,3521.7,No
1615,20.05,923.1,No
1616,19.4,1110.35,No
1617,59.45,1611.65,No
1618,94.75,2293.6,Yes
1619,81.5,5553.25,No
1620,29.05,44.75,No
1621,86.45,3029.1,Yes
1622,70.6,3231.05,No
1623,97.2,5129.45,No
1624,98.25,5508.35,Yes
1625,75.75,655.9,Yes
1626,59.2,1191.2,No
1627,75.9,866.4,No
1628,90.05,2627.2,No
1629,70.95,4741.45,No
1630,102.6,4009.2,No
1631,85.35,1463.45,Yes
1632,106.1,5082.8,Yes
1633,43.8,43.8,No
1634,59.0,3707.6,No
1635,69.95,220.45,No
1636,24.35,1133.7,No
1637,29.45,1983.15,No
1638,84.4,5746.75,No
1639,45.05,770.6,Yes
1640,20.65,134.05,No
1641,87.1,6230.1,No
1642,19.85,573.05,No
1643,90.35,3419.3,No
1644,109.8,3587.25,Yes
1645,84.65,3541.35,Yes
1646,65.5,3801.3,No
1647,79.5,868.5,Yes
1648,80.95,4859.1,No
1649,56.15,1439.35,No
1650,85.8,85.8,Yes
1651,79.1,79.1,Yes
1652,34.4,592.75,No
1653,20.75,1185.95,No
1654,18.8,18.8,No
1655,44.3,134.5,Yes
1656,90.8,4921.2,No
1657,25.6,901.25,No
1658,105.95,5341.8,Yes
1659,70.8,4859.95,No
1660,25.4,1139.2,No
1661,108.8,7082.45,No
1662,69.75,324.6,Yes
1663,94.65,4812.75,Yes
1664,96.05,4399.5,Yes
1665,76.85,663.55,No
1666,20.25,174.65,No
1667,24.8,321.7,No
1668,115.65,5125.5,No
1669,74.6,548.9,No
1670,50.15,50.15,Yes
1671,103.15,7031.3,No
1672,72.1,5016.65,No
1673,113.6,4594.95,Yes
1674,25.1,611.45,No
1675,78.9,2384.15,Yes
1676,80.15,319.85,No
1677,25.4,153.3,No
1678,105.4,7035.6,No
1679,45.75,344.2,No
1680,24.45,1431.65,No
1681,25.0,1849.2,No
1682,85.25,6083.1,No
1683,19.6,426.65,No
1684,50.15,1655.35,No
1685,70.55,1943.9,No
1686,60.05,1616.15,Yes
1687,26.4,314.95,No
1688,20.15,804.85,No
1689,58.85,465.7,No
1690,97.55,6669.05,No
1691,19.65,1161.75,No
1692,25.25,947.75,No
1693,114.45,8375.05,No
1694,34.7,34.7,Yes
1695,70.7,3770,No
1696,85.3,264.8,Yes
1697,75.55,4707.85,No
1698,84.8,6152.4,No
1699,20.65,958.1,No
1700,20.45,943,No
1701,102.45,6615.15,Yes
1702,104.4,2200.25,Yes
1703,35.65,425.1,No
1704,99.75,99.75,Yes
1705,90.45,5044.8,No
1706,97.65,6743.55,No
1707,73.85,196.4,No
1708,74.4,299.7,Yes
1709,69.1,2093.9,No
1710,82.75,417.75,No
1711,24.4,1725.4,No
1712,55.25,1620.2,No
1713,61.35,3169.55,No
1714,76.75,5233.25,No
1715,19.4,967.85,No
1716,54.75,438.05,No
1717,19.7,1421.9,No
1718,19.9,323.15,No
1719,107.95,318.6,No
1720,83.8,163.7,No
1721,74.25,639.65,Yes
1722,56.4,2928.5,No
1723,20.1,100.35,No
1724,94.9,273.2,No
1725,94.2,1608.15,No
1726,49.9,1441.95,No
1727,71.05,2168.15,No
1728,81.65,3618.7,No
1729,89.45,5692.65,No
1730,59.85,59.85,Yes
1731,69.6,69.6,Yes
1732,99.0,5969.3,No
1733,19.05,19.05,No
1734,45.4,418.8,Yes
1735,114.45,8100.55,No
1736,19.5,19.5,Yes
1737,44.25,313.45,No
1738,90.55,6130.95,No
1739,69.9,69.9,Yes
1740,20.4,745.3,No
1741,71.4,1212.1,No
1742,87.15,183.75,Yes
1743,24.85,1583.5,No
1744,104.45,4162.05,No
1745,19.8,1119.9,No
1746,116.45,8013.55,No
1747,84.75,264.85,Yes
1748,20.05,1102.4,No
1749,110.75,5832,No
1750,89.7,4304.5,No
1751,89.95,1178.4,Yes
1752,48.7,1421.75,No
1753,96.6,6827.5,No
1754,74.3,4698.05,No
1755,54.3,654.5,No
1756,74.85,3268.05,No
1757,79.95,4362.05,No
1758,20.05,1386.9,No
1759,19.4,415.4,No
1760,54.9,2614.1,No
1761,24.45,1513.6,No
1762,89.65,3161.6,No
1763,45.4,80.95,No
1764,75.7,4676.7,No
1765,110.65,6526.65,No
1766,20.55,583.3,No
1767,115.15,8078.1,No
1768,58.55,3503.5,No
1769,93.25,6669.45,No
1770,113.2,4689.5,Yes
1771,90.5,1201.15,Yes
1772,79.0,143.65,Yes
1773,19.35,1292.65,No
1774,48.75,48.75,No
1775,109.05,7108.2,No
1776,25.0,1802.55,No
1777,54.9,1505.15,No
1778,24.75,1859.1,No
1779,91.15,168.5,No
1780,20.15,390.85,Yes
1781,104.35,6339.45,No
1782,66.05,1652.4,No
1783,71.65,71.65,Yes
1784,20.35,77.5,Yes
1785,92.2,6392.85,No
1786,84.25,3264.5,Yes
1787,105.2,4599.15,No
1788,19.6,1134.25,No
1789,30.4,1621.35,No
1790,78.1,947.3,Yes
1791,61.5,2722.2,No
1792,69.4,3058.3,No
1793,24.75,1769.6,No
1794,91.05,6293.75,No
1795,89.65,1761.05,Yes
1796,73.65,1642.75,No
1797,19.4,578.5,No
1798,26.2,954.9,No
1799,98.7,973.25,Yes
1800,43.85,43.85,No
1801,69.7,1490.4,No
1802,38.55,280,No
1803,53.1,1901.25,No
1804,20.65,716.4,No
1805,64.45,4720,No
1806,25.1,930.95,No
1807,76.35,76.35,Yes
1808,79.15,1676.95,Yes
1809,85.0,2642.05,Yes
1810,95.15,6770.85,No
1811,79.35,1835.3,No
1812,96.65,1588.25,No
1813,75.5,75.5,No
1814,19.7,258.35,No
1815,20.5,1502.25,No
1816,19.2,19.2,No
1817,98.35,6929.4,No
1818,74.35,4453.3,No
1819,51.35,3244.4,No
1820,45.65,323.45,No
1821,85.3,2661.1,Yes
1822,86.55,2697.4,Yes
1823,73.85,1424.5,Yes
1824,20.3,1401.15,No
1825,54.2,1739.6,No
1826,90.65,5931,No
1827,50.9,2333.85,No
1828,25.05,949.85,No
1829,74.85,572.45,No
1830,20.5,696.8,No
1831,63.55,1381.8,No
1832,44.85,2572.95,Yes
1833,47.95,47.95,No
1834,45.1,45.1,Yes
1835,45.0,45,No
1836,96.0,2122.45,Yes
1837,20.05,20.05,Yes
1838,90.05,4931.8,No
1839,25.3,116.95,No
1840,108.65,6937.95,Yes
1841,24.3,1261.7,No
1842,75.95,3273.8,No
1843,19.7,1415.85,No
1844,66.4,3958.2,No
1845,35.75,2492.25,No
1846,18.8,279.2,No
1847,19.4,1083,No
1848,19.3,755.5,No
1849,45.55,402.6,Yes
1850,67.45,3252,No
1851,35.1,68.75,Yes
1852,46.2,46.2,Yes
1853,45.15,45.15,Yes
1854,43.3,43.3,Yes
1855,20.1,936.85,No
1856,57.15,2250.65,Yes
1857,58.9,3857.1,No
1858,73.2,1441.1,Yes
1859,85.35,4338.6,Yes
1860,19.45,1378.45,No
1861,45.95,45.95,Yes
1862,50.5,2566.3,No
1863,25.1,171,No
1864,60.7,1597.4,No
1865,99.0,4744.35,No
1866,104.4,6721.6,No
1867,83.75,247.25,Yes
1868,44.05,44.05,No
1869,24.1,1734.65,No
1870,45.55,45.55,No
1871,93.8,4539.35,No
1872,19.7,804.25,No
1873,70.65,5011.15,No
1874,86.45,3574.5,No
1875,114.1,8086.4,No
1876,95.2,4563,No
1877,88.55,6362.35,No
1878,20.75,67.1,No
1879,70.05,70.05,Yes
1880,86.0,165.45,Yes
1881,44.65,1156.55,No
1882,60.2,1834.15,No
1883,100.5,3653.35,Yes
1884,55.45,1477.65,No
1885,70.3,1706.45,No
1886,60.4,3953.7,No
1887,72.65,1194.3,Yes
1888,55.8,1327.85,No
1889,31.1,419.7,No
1890,21.0,21,Yes
1891,45.1,45.1,Yes
1892,50.95,207.35,No
1893,69.1,1083.7,No
1894,43.95,2007.85,No
1895,86.5,5882.75,No
1896,69.95,2657.55,No
1897,50.4,1527.5,Yes
1898,78.95,378.4,Yes
1899,90.95,1612.2,No
1900,19.9,76.65,No
1901,20.15,260.7,No
1902,90.6,6441.85,No
1903,92.0,266.8,No
1904,94.45,5124.6,Yes
1905,24.85,962.25,No
1906,36.0,1382.9,No
1907,78.5,571.05,No
1908,19.95,1399.35,No
1909,20.65,150,No
1910,30.5,167.2,No
1911,106.1,7657.4,No
1912,20.5,865.05,No
1913,95.5,6153.85,No
1914,64.6,174.2,No
1915,51.1,1269.6,No
1916,84.8,3862.55,Yes
1917,89.1,6352.4,No
1918,54.95,1348.5,No
1919,50.9,50.9,Yes
1920,20.45,471.55,No
1921,85.95,5931.75,No
1922,60.35,1404.65,No
1923,19.8,726.1,No
1924,85.35,1961.6,No
1925,72.1,4194.85,No
1926,99.8,4872.45,Yes
1927,107.35,5118.95,Yes
1928,19.55,658.95,Yes
1929,81.05,81.05,No
1930,20.5,76.95,No
1931,111.8,5809.75,No
1932,20.2,20.2,No
1933,19.7,415.9,No
1934,79.1,246.5,Yes
1935,19.85,996.95,No
1936,60.5,3145.15,No
1937,19.55,265.3,No
1938,20.9,20.9,No
1939,21.05,21.05,No
1940,71.5,4576.3,No
1941,54.65,189.1,No
1942,19.2,908.15,No
1943,49.8,49.8,No
1944,25.5,215.2,Yes
1945,20.5,1500.95,No
1946,90.4,5099.15,No
1947,90.25,6385.95,No
1948,80.75,159.45,Yes
1949,104.6,6885.75,No
1950,91.85,5940.85,Yes
1951,50.2,668.85,No
1952,95.5,1916.2,No
1953,75.35,75.35,Yes
1954,75.45,75.45,Yes
1955,95.4,4613.95,No
1956,101.3,7261.25,No
1957,53.1,2459.8,No
1958,84.85,2048.8,No
1959,34.25,163.55,No
1960,88.6,2888.7,No
1961,60.15,2421.6,No
1962,99.95,2292.75,No
1963,70.7,553.4,No
1964,54.8,3465.7,No
1965,49.55,1210.4,Yes
1966,54.8,1291.3,No
1967,78.6,5356.45,Yes
1968,100.3,5200.8,No
1969,53.6,3237.05,No
1970,81.1,576.65,Yes
1971,19.35,433.75,No
1972,85.6,1868.4,No
1973,80.8,5728.55,No
1974,74.95,825.7,Yes
1975,19.6,390.4,No
1976,93.55,93.55,Yes
1977,90.7,2845.15,No
1978,69.75,3894.4,No
1979,20.0,886.4,No
1980,95.25,1021.55,No
1981,102.1,5885.4,Yes
1982,19.95,268.4,No
1983,80.85,2204.35,No
1984,90.9,1259,Yes
1985,29.2,309.1,Yes
1986,93.3,6398.05,No
1987,89.15,2257.75,Yes
1988,108.85,6287.25,Yes
1989,46.35,1662.05,No
1990,84.75,1350.15,Yes
1991,78.75,3600.65,No
1992,83.55,1329.15,No
1993,45.7,45.7,Yes
1994,19.6,422.5,No
1995,69.95,69.95,Yes
1996,67.85,4627.65,No
1997,105.65,6717.9,No
1998,44.6,97.1,Yes
1999,74.95,1710.45,Yes
2000,75.5,637.4,No
2001,20.15,117.95,No
2002,45.2,2460.55,No
2003,95.25,5464.65,Yes
2004,89.85,2165.05,Yes
2005,100.45,4941.8,Yes
2006,47.15,223.15,Yes
2007,80.2,181.1,Yes
2008,87.1,341.45,Yes
2009,79.25,5731.85,No
2010,75.9,357.75,Yes
2011,85.7,4616.1,No
2012,98.75,4533.7,Yes
2013,20.1,589.25,No
2014,61.8,750.1,No
2015,49.9,1410.25,No
2016,86.45,830.85,Yes
2017,20.4,743.5,No
2018,45.3,45.3,Yes
2019,104.1,7040.85,Yes
2020,75.4,3865.45,No
2021,108.15,6825.65,No
2022,86.25,1340.1,No
2023,81.0,371.65,Yes
2024,95.7,1184,No
2025,116.85,8477.7,No
2026,105.75,7382.85,No
2027,20.15,456.85,No
2028,19.6,331.6,No
2029,90.6,6056.15,Yes
2030,60.95,134.6,No
2031,25.05,125.5,No
2032,88.15,1390.6,Yes
2033,20.2,20.2,Yes
2034,60.3,2511.3,No
2035,63.95,2737.05,No
2036,74.3,74.3,No
2037,70.6,70.6,No
2038,90.8,2361.8,Yes
2039,79.35,1730.35,Yes
2040,90.55,6404,No
2041,19.45,165.35,No
2042,64.45,1867.6,No
2043,69.65,1043.3,No
2044,19.5,128.6,No
2045,110.5,7455.45,No
2046,24.7,24.7,No
2047,77.4,206.15,No
2048,96.8,2030.3,Yes
2049,85.4,5869.4,No
2050,47.6,3377.8,No
2051,19.4,1346.2,No
2052,103.85,4946.05,No
2053,83.35,4065,Yes
2054,49.4,106.55,Yes
2055,108.45,4964.7,No
2056,81.0,4085.75,No
2057,79.2,1742.75,Yes
2058,86.65,6224.8,No
2059,92.95,3415.25,No
2060,90.35,6325.25,No
